1,"Fri, Oct 31, 1997",,,,Box Score,/boxscores/199710310ORL.html,,Atlanta Hawks,/teams/ATL/1998.html,L,,99,105,0,1,L 1,,0,ATL,ORL
2,"Sun, Nov 2, 1997",,,,Box Score,/boxscores/199711020BOS.html,@,Boston Celtics,/teams/BOS/1998.html,W,,107,96,1,1,W 1,,0,BOS,ORL
3,"Tue, Nov 4, 1997",,,,Box Score,/boxscores/199711040MIL.html,@,Milwaukee Bucks,/teams/MIL/1998.html,L,,76,110,1,2,L 1,,0,MIL,ORL
4,"Wed, Nov 5, 1997",,,,Box Score,/boxscores/199711050CHI.html,@,Chicago Bulls,/teams/CHI/1998.html,L,,81,94,1,3,L 2,,0,CHI,ORL
5,"Fri, Nov 7, 1997",,,,Box Score,/boxscores/199711070DET.html,@,Detroit Pistons,/teams/DET/1998.html,W,,89,84,2,3,W 1,,0,DET,ORL
6,"Sat, Nov 8, 1997",,,,Box Score,/boxscores/199711080ORL.html,,Toronto Raptors,/teams/TOR/1998.html,W,,96,87,3,3,W 2,,0,TOR,ORL
7,"Wed, Nov 12, 1997",,,,Box Score,/boxscores/199711120ORL.html,,Sacramento Kings,/teams/SAC/1998.html,L,,89,115,3,4,L 1,,0,SAC,ORL
8,"Fri, Nov 14, 1997",,,,Box Score,/boxscores/199711140ORL.html,,Denver Nuggets,/teams/DEN/1998.html,W,,103,85,4,4,W 1,,0,DEN,ORL
9,"Sat, Nov 15, 1997",,,,Box Score,/boxscores/199711150WAS.html,@,Washington Wizards,/teams/WAS/1998.html,W,,102,91,5,4,W 2,"at Landover, MD",0,WAS,ORL
10,"Tue, Nov 18, 1997",,,,Box Score,/boxscores/199711180ORL.html,,Los Angeles Clippers,/teams/LAC/1998.html,W,,112,94,6,4,W 3,,0,LAC,ORL
11,"Wed, Nov 19, 1997",,,,Box Score,/boxscores/199711190CLE.html,@,Cleveland Cavaliers,/teams/CLE/1998.html,W,OT,96,93,7,4,W 4,,0,CLE,ORL
12,"Sat, Nov 22, 1997",,,,Box Score,/boxscores/199711220PHI.html,@,Philadelphia 76ers,/teams/PHI/1998.html,W,,108,94,8,4,W 5,,0,PHI,ORL
